### 蜃景幻界新月岛 北征之章
# ZoneId: 1346

hideall "--Reset--"
hideall "--sync--"

0.0 "--Reset--" ActorControl { command: "4000000F" } window 0,100000 jump 0

# 舞之间 will be sealed off
0.0 "--sync--" SystemLogMessage { id: "7DC", param1: "1574" } window 0,1
3.0 "攻击" Ability { id: "C65F", source: "剑舞者" }
6.0 "攻击" Ability { id: "C65F", source: "剑舞者" }
11.0 "剑技风暴" Ability { id: "C20B", source: "剑舞者" }
12.0 "剑技风暴" Ability { id: "C216", source: "剑舞者" }
14.0 "攻击" Ability { id: "C65F", source: "剑舞者" }
14.2 "--sync--" Ability { id: "C196", source: "剑舞者" }
15.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
15.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
16.2 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
16.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
17.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
18.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
18.3 "投剑" Ability { id: "C1D3", source: "剑舞者" }
18.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
19.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
19.3 "突进" Ability { id: "C55F", source: "舞动之剑" }
19.3 "突进" Ability { id: "C1D5", source: "舞动之剑" }
19.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
20.2 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
20.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
21.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
21.4 "投剑" Ability { id: "C1D4", source: "剑舞者" }
22.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
22.3 "突进" Ability { id: "C560", source: "舞动之剑" }
22.3 "突进" Ability { id: "C1D5", source: "舞动之剑" }
22.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
23.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
23.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
24.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
24.4 "攻击" Ability { id: "C65F", source: "剑舞者" }
24.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
25.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
26.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
26.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
26.9 "回旋" Ability { id: "C1DC", source: "舞动之剑" }
26.9 "回旋" Ability { id: "C1D7", source: "舞动之剑" }
26.9 "回旋" Ability { id: "C1E3", source: "舞动之剑" }
26.9 "回旋" Ability { id: "C1E5", source: "舞动之剑" }
26.9 "突进" Ability { id: "C1D6", source: "舞动之剑" }
27.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
27.2 "攻击" Ability { id: "C65F", source: "剑舞者" }
27.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
28.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
28.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
29.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
29.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
30.3 "攻击" Ability { id: "C65F", source: "剑舞者" }
30.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
31.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
31.0 "回旋" Ability { id: "C1DC", source: "舞动之剑" }
31.0 "回旋" Ability { id: "C1D7", source: "舞动之剑" }
31.0 "回旋" Ability { id: "C1E3", source: "舞动之剑" }
31.0 "回旋" Ability { id: "C1E5", source: "舞动之剑" }
31.0 "突进" Ability { id: "C1D6", source: "舞动之剑" }
31.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
32.2 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
32.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
33.4 "攻击" Ability { id: "C65F", source: "剑舞者" }
33.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
33.8 "--sync--" Ability { id: "C20C", source: "剑舞者" }
33.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
34.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
35.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
35.2 "回旋" Ability { id: "C1DC", source: "舞动之剑" }
35.2 "突进" Ability { id: "C1D6", source: "舞动之剑" }
35.2 "回旋" Ability { id: "C1D7", source: "舞动之剑" }
35.2 "突进" Ability { id: "C1D6", source: "舞动之剑" }
35.2 "回旋" Ability { id: "C1E3", source: "舞动之剑" }
35.2 "回旋" Ability { id: "C1E5", source: "舞动之剑" }
35.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
36.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
36.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
37.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
37.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
